case,shed_max,fuel_price,sto_lifetime_cycles,sto_lifetime_calendar,fixed_lifetimes,gen_hours_assum,n_ztan,relax_gain,lcoe_pwl,lcoe_cvx,lcoe_ns,sto_cycles,sto_cycles_lifetime,gen_hours,gen_hours_lin,xopt_gen,xopt_sto,xopt_pv,xopt_wind,topt
"Base case, rgain=1",0.0,2.0,1500.0,15.0,false,NaN,10,1.0,243.02374019272588,243.05558460886863,252.90744425697898,147.7612927293772,10.151508370647715,2090.0,914.62797236198,1215.9818212039854,4987.927418004806,2132.004726533021,1575.9028865214382,24.985245555
"Base case, rgain=2",0.0,2.0,1500.0,15.0,false,NaN,10,2.0,250.2393733938677,250.2601106039112,252.21833905706282,140.35660110762856,10.687064150618514,1809.0,1583.7121724658198,1255.4630960888146,5837.32571763797,2329.5185210266136,1596.124564364258,23.772080597
"Less tangents, n_ztan=2",0.0,2.0,1500.0,15.0,false,NaN,2,2.0,249.4233474587172,250.28403118758052,251.94812733320688,136.4783336687463,10.990755526373354,1736.0,1542.979558200457,1246.0127691265982,6231.299245836618,2371.398649116621,1594.5648501989676,22.830080715
"Less tangents, n_ztan=3",0.0,2.0,1500.0,15.0,false,NaN,3,2.0,249.42334745871713,250.28403118758052,251.88771604035088,136.47833366874644,10.990755526373343,1729.0,1542.979558200456,1246.0127691265982,6231.299245836618,2371.398649116621,1594.5648501989676,26.415440378
"Less tangents, n_ztan=5",0.0,2.0,1500.0,15.0,false,NaN,5,2.0,249.60065605701976,250.2678932600519,252.14803636234296,140.74659820237557,10.657451186444963,1788.0,1571.4090874904025,1254.0217928198483,5899.51816509691,2368.4949670959386,1588.1239802412367,21.251539119
Relax gain convergence,0.0,2.0,1500.0,15.0,false,NaN,10,2.2659846854120627,252.01905675076313,252.0479289685047,252.0479289685047,138.4559825253905,10.83376805133664,1746.0,1746.0,1250.182161102502,6046.099485184932,2378.0158344783495,1608.6573794782898,20.96180667
"Fixed lifetime, rough & reasonable",0.0,2.0,1500.0,10.0,true,2000.0,0,NaN,248.7521302962008,NaN,256.1954874829618,177.71262006608205,8.440593579916992,2495.0,NaN,1186.3757111395041,3495.246635763715,2198.193828003558,1484.491478203111,12.535842922
"Fixed lifetime, matching rgain=2",0.0,2.0,1500.0,10.687,true,1809.0,0,NaN,245.98581940725123,NaN,255.24115601900354,173.79448144878657,8.6308839469222,2403.0,NaN,1169.6742616009556,3823.279747600134,2265.841959101237,1479.3223201663948,8.992087127
"Fixed lifetime, optimistic 15y",0.0,2.0,1500.0,15.0,true,2000.0,0,NaN,241.53747203436933,NaN,253.07248052507924,166.51750842685587,9.008061759817208,2060.0,NaN,1128.9396351984942,4840.533325212305,2589.111332506933,1452.1541845520385,11.453004337
"Fixed lifetime, convergence",0.0,2.0,1500.0,7.877,true,2760.0,0,NaN,259.5022287162397,NaN,259.5022287162403,190.42077143172773,7.877291897947177,2760.0,NaN,1227.3657558179177,2705.756501082182,2072.7827279053768,1477.074540401505,9.645478139
